Date,Close,Abbv,Industry
20-11-2013,106.559998,BHC,Pharmaceuticals
21-11-2013,108.68,BHC,Pharmaceuticals
22-11-2013,109.550003,BHC,Pharmaceuticals
25-11-2013,108.989998,BHC,Pharmaceuticals
26-11-2013,109.220001,BHC,Pharmaceuticals
27-11-2013,108.349998,BHC,Pharmaceuticals
29-11-2013,109.629997,BHC,Pharmaceuticals
02-12-2013,109.779999,BHC,Pharmaceuticals
03-12-2013,109.190002,BHC,Pharmaceuticals
04-12-2013,107.900002,BHC,Pharmaceuticals
05-12-2013,106.400002,BHC,Pharmaceuticals
06-12-2013,107.669998,BHC,Pharmaceuticals
09-12-2013,107.970001,BHC,Pharmaceuticals
10-12-2013,108.620003,BHC,Pharmaceuticals
11-12-2013,106.489998,BHC,Pharmaceuticals
12-12-2013,106.239998,BHC,Pharmaceuticals
13-12-2013,106.830002,BHC,Pharmaceuticals
16-12-2013,110.919998,BHC,Pharmaceuticals
17-12-2013,109.32,BHC,Pharmaceuticals
18-12-2013,112.410004,BHC,Pharmaceuticals
19-12-2013,111.900002,BHC,Pharmaceuticals
20-12-2013,112,BHC,Pharmaceuticals
23-12-2013,112.620003,BHC,Pharmaceuticals
24-12-2013,113.019997,BHC,Pharmaceuticals
26-12-2013,113.559998,BHC,Pharmaceuticals
27-12-2013,113.599998,BHC,Pharmaceuticals
30-12-2013,117.419998,BHC,Pharmaceuticals
31-12-2013,117.400002,BHC,Pharmaceuticals
02-01-2014,116.980003,BHC,Pharmaceuticals
03-01-2014,117.160004,BHC,Pharmaceuticals
06-01-2014,112.620003,BHC,Pharmaceuticals
07-01-2014,125.349998,BHC,Pharmaceuticals
08-01-2014,128.300003,BHC,Pharmaceuticals
09-01-2014,132.169998,BHC,Pharmaceuticals
10-01-2014,133.5,BHC,Pharmaceuticals
13-01-2014,130.619995,BHC,Pharmaceuticals
14-01-2014,135.009995,BHC,Pharmaceuticals
15-01-2014,133.5,BHC,Pharmaceuticals
16-01-2014,137.339996,BHC,Pharmaceuticals
17-01-2014,137.929993,BHC,Pharmaceuticals
21-01-2014,136.880005,BHC,Pharmaceuticals
22-01-2014,137.820007,BHC,Pharmaceuticals
23-01-2014,135.020004,BHC,Pharmaceuticals
24-01-2014,132.119995,BHC,Pharmaceuticals
27-01-2014,131,BHC,Pharmaceuticals
28-01-2014,132.800003,BHC,Pharmaceuticals
29-01-2014,132.800003,BHC,Pharmaceuticals
30-01-2014,136.600006,BHC,Pharmaceuticals
31-01-2014,135.639999,BHC,Pharmaceuticals
03-02-2014,133.360001,BHC,Pharmaceuticals
04-02-2014,135.559998,BHC,Pharmaceuticals
05-02-2014,134.610001,BHC,Pharmaceuticals
06-02-2014,134.429993,BHC,Pharmaceuticals
07-02-2014,137.929993,BHC,Pharmaceuticals
10-02-2014,138.130005,BHC,Pharmaceuticals
11-02-2014,141.309998,BHC,Pharmaceuticals
12-02-2014,140.770004,BHC,Pharmaceuticals
13-02-2014,141.789993,BHC,Pharmaceuticals
14-02-2014,139.570007,BHC,Pharmaceuticals
18-02-2014,146.470001,BHC,Pharmaceuticals
19-02-2014,145.020004,BHC,Pharmaceuticals
20-02-2014,148,BHC,Pharmaceuticals
21-02-2014,146.259995,BHC,Pharmaceuticals
24-02-2014,145.729996,BHC,Pharmaceuticals
25-02-2014,145.059998,BHC,Pharmaceuticals
26-02-2014,146.339996,BHC,Pharmaceuticals
27-02-2014,148,BHC,Pharmaceuticals
28-02-2014,144.860001,BHC,Pharmaceuticals
03-03-2014,143.380005,BHC,Pharmaceuticals
04-03-2014,146.229996,BHC,Pharmaceuticals
05-03-2014,145.130005,BHC,Pharmaceuticals
06-03-2014,138.550003,BHC,Pharmaceuticals
07-03-2014,141.369995,BHC,Pharmaceuticals
10-03-2014,140.740005,BHC,Pharmaceuticals
11-03-2014,139.960007,BHC,Pharmaceuticals
12-03-2014,141,BHC,Pharmaceuticals
13-03-2014,139.330002,BHC,Pharmaceuticals
14-03-2014,140.009995,BHC,Pharmaceuticals
17-03-2014,140.899994,BHC,Pharmaceuticals
18-03-2014,144.179993,BHC,Pharmaceuticals
19-03-2014,140.789993,BHC,Pharmaceuticals
20-03-2014,140.399994,BHC,Pharmaceuticals
21-03-2014,135.550003,BHC,Pharmaceuticals
24-03-2014,131.470001,BHC,Pharmaceuticals
25-03-2014,131.529999,BHC,Pharmaceuticals
26-03-2014,129.070007,BHC,Pharmaceuticals
27-03-2014,127.190002,BHC,Pharmaceuticals
28-03-2014,127.68,BHC,Pharmaceuticals
31-03-2014,131.830002,BHC,Pharmaceuticals
01-04-2014,133.25,BHC,Pharmaceuticals
02-04-2014,133.690002,BHC,Pharmaceuticals
03-04-2014,129.100006,BHC,Pharmaceuticals
04-04-2014,124.690002,BHC,Pharmaceuticals
07-04-2014,119.230003,BHC,Pharmaceuticals
08-04-2014,122.029999,BHC,Pharmaceuticals
09-04-2014,129.339996,BHC,Pharmaceuticals
10-04-2014,123.330002,BHC,Pharmaceuticals
11-04-2014,118.790001,BHC,Pharmaceuticals
14-04-2014,116.989998,BHC,Pharmaceuticals
15-04-2014,120.120003,BHC,Pharmaceuticals
16-04-2014,121.449997,BHC,Pharmaceuticals
17-04-2014,122.050003,BHC,Pharmaceuticals
21-04-2014,126.010002,BHC,Pharmaceuticals
22-04-2014,135.410004,BHC,Pharmaceuticals
23-04-2014,133.229996,BHC,Pharmaceuticals
24-04-2014,134.419998,BHC,Pharmaceuticals
25-04-2014,133.729996,BHC,Pharmaceuticals
28-04-2014,133.509995,BHC,Pharmaceuticals
29-04-2014,133.630005,BHC,Pharmaceuticals
30-04-2014,133.710007,BHC,Pharmaceuticals
01-05-2014,138.130005,BHC,Pharmaceuticals
02-05-2014,136.350006,BHC,Pharmaceuticals
05-05-2014,136.190002,BHC,Pharmaceuticals
06-05-2014,133.350006,BHC,Pharmaceuticals
07-05-2014,133.350006,BHC,Pharmaceuticals
08-05-2014,131.169998,BHC,Pharmaceuticals
09-05-2014,131.169998,BHC,Pharmaceuticals
12-05-2014,130.160004,BHC,Pharmaceuticals
13-05-2014,129.639999,BHC,Pharmaceuticals
14-05-2014,126.970001,BHC,Pharmaceuticals
15-05-2014,124.040001,BHC,Pharmaceuticals
16-05-2014,126.760002,BHC,Pharmaceuticals
19-05-2014,127.209999,BHC,Pharmaceuticals
20-05-2014,130.970001,BHC,Pharmaceuticals
21-05-2014,129.899994,BHC,Pharmaceuticals
22-05-2014,130.830002,BHC,Pharmaceuticals
23-05-2014,133.460007,BHC,Pharmaceuticals
27-05-2014,129.949997,BHC,Pharmaceuticals
28-05-2014,126.949997,BHC,Pharmaceuticals
29-05-2014,129.220001,BHC,Pharmaceuticals
30-05-2014,131.210007,BHC,Pharmaceuticals
02-06-2014,134.169998,BHC,Pharmaceuticals
03-06-2014,132.259995,BHC,Pharmaceuticals
04-06-2014,128.820007,BHC,Pharmaceuticals
05-06-2014,128.339996,BHC,Pharmaceuticals
06-06-2014,127.459999,BHC,Pharmaceuticals
09-06-2014,126.629997,BHC,Pharmaceuticals
10-06-2014,125.550003,BHC,Pharmaceuticals
11-06-2014,125.18,BHC,Pharmaceuticals
12-06-2014,120.75,BHC,Pharmaceuticals
13-06-2014,119.599998,BHC,Pharmaceuticals
16-06-2014,117.75,BHC,Pharmaceuticals
17-06-2014,118.870003,BHC,Pharmaceuticals
18-06-2014,118.43,BHC,Pharmaceuticals
19-06-2014,117.550003,BHC,Pharmaceuticals
20-06-2014,121.93,BHC,Pharmaceuticals
23-06-2014,121.209999,BHC,Pharmaceuticals
24-06-2014,120.519997,BHC,Pharmaceuticals
25-06-2014,125.940002,BHC,Pharmaceuticals
26-06-2014,126.5,BHC,Pharmaceuticals
27-06-2014,128.850006,BHC,Pharmaceuticals
30-06-2014,126.120003,BHC,Pharmaceuticals
01-07-2014,125.580002,BHC,Pharmaceuticals
02-07-2014,126,BHC,Pharmaceuticals
03-07-2014,126,BHC,Pharmaceuticals
07-07-2014,123.290001,BHC,Pharmaceuticals
08-07-2014,122.169998,BHC,Pharmaceuticals
09-07-2014,120.940002,BHC,Pharmaceuticals
10-07-2014,120.68,BHC,Pharmaceuticals
11-07-2014,120.470001,BHC,Pharmaceuticals
14-07-2014,121.080002,BHC,Pharmaceuticals
15-07-2014,119.449997,BHC,Pharmaceuticals
16-07-2014,121.709999,BHC,Pharmaceuticals
17-07-2014,121.519997,BHC,Pharmaceuticals
18-07-2014,121.970001,BHC,Pharmaceuticals
21-07-2014,125.540001,BHC,Pharmaceuticals
22-07-2014,122.540001,BHC,Pharmaceuticals
23-07-2014,124.620003,BHC,Pharmaceuticals
24-07-2014,124.360001,BHC,Pharmaceuticals
25-07-2014,123.519997,BHC,Pharmaceuticals
28-07-2014,123.529999,BHC,Pharmaceuticals
29-07-2014,123.699997,BHC,Pharmaceuticals
30-07-2014,125.830002,BHC,Pharmaceuticals
31-07-2014,117.389999,BHC,Pharmaceuticals
01-08-2014,118.209999,BHC,Pharmaceuticals
04-08-2014,116.790001,BHC,Pharmaceuticals
05-08-2014,110.660004,BHC,Pharmaceuticals
06-08-2014,110.019997,BHC,Pharmaceuticals
07-08-2014,106.730003,BHC,Pharmaceuticals
08-08-2014,109.169998,BHC,Pharmaceuticals
11-08-2014,107.25,BHC,Pharmaceuticals
12-08-2014,108.07,BHC,Pharmaceuticals
13-08-2014,109.169998,BHC,Pharmaceuticals
14-08-2014,111.040001,BHC,Pharmaceuticals
15-08-2014,112.260002,BHC,Pharmaceuticals
18-08-2014,109.779999,BHC,Pharmaceuticals
19-08-2014,113.720001,BHC,Pharmaceuticals
20-08-2014,113.099998,BHC,Pharmaceuticals
21-08-2014,113.809998,BHC,Pharmaceuticals
22-08-2014,117.260002,BHC,Pharmaceuticals
25-08-2014,115.480003,BHC,Pharmaceuticals
26-08-2014,117.099998,BHC,Pharmaceuticals
